Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.61,0.9099999999999999,0.33375387688027947
75% Corpus,6,0.61,symmetric,0.3642623414974732
75% Corpus,6,0.9099999999999999,0.01,0.335129860112307
75% Corpus,6,0.9099999999999999,0.31,0.34794949552775956
75% Corpus,6,0.9099999999999999,0.61,0.35924910620217826
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3392616759428064
75% Corpus,6,0.9099999999999999,symmetric,0.3648808448791471
75% Corpus,6,symmetric,0.01,0.4192491037754595
75% Corpus,6,symmetric,0.31,0.41158355462660273
75% Corpus,6,symmetric,0.61,0.394596521684715
75% Corpus,6,symmetric,0.9099999999999999,0.379878022847731
75% Corpus,6,symmetric,symmetric,0.43101611420360636
75% Corpus,6,asymmetric,0.01,0.4065156430215202
75% Corpus,6,asymmetric,0.31,0.4437518043039135
75% Corpus,6,asymmetric,0.61,0.47521273747822956
75% Corpus,6,asymmetric,0.9099999999999999,0.5277591177400452
75% Corpus,6,asymmetric,symmetric,0.5119855814029396
75% Corpus,7,0.01,0.01,0.37883712365248695
75% Corpus,7,0.01,0.31,0.41406361317299833
75% Corpus,7,0.01,0.61,0.37230458093523877
75% Corpus,7,0.01,0.9099999999999999,0.3878566208773007
75% Corpus,7,0.01,symmetric,0.38322453884253566
75% Corpus,7,0.31,0.01,0.41251229988134863
75% Corpus,7,0.31,0.31,0.38667329425443314
75% Corpus,7,0.31,0.61,0.3712175280596322
75% Corpus,7,0.31,0.9099999999999999,0.41004978491019445
75% Corpus,7,0.31,symmetric,0.385500034085213
75% Corpus,7,0.61,0.01,0.37760937519165844
75% Corpus,7,0.61,0.31,0.3920388557023116
75% Corpus,7,0.61,0.61,0.381566342757045
75% Corpus,7,0.61,0.9099999999999999,0.3934754623957379
75% Corpus,7,0.61,symmetric,0.37574639371167795
75% Corpus,7,0.9099999999999999,0.01,0.35840998205733143
75% Corpus,7,0.9099999999999999,0.31,0.37134213493125573
75% Corpus,7,0.9099999999999999,0.61,0.41661253987771346
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3966341635936547
75% Corpus,7,0.9099999999999999,symmetric,0.35770564242484976
75% Corpus,7,symmetric,0.01,0.3470442096262351
75% Corpus,7,symmetric,0.31,0.38011443800454453
75% Corpus,7,symmetric,0.61,0.37714810401628984
75% Corpus,7,symmetric,0.9099999999999999,0.3994028476783737
75% Corpus,7,symmetric,symmetric,0.3553530662143011
75% Corpus,7,asymmetric,0.01,0.40304451496743887
75% Corpus,7,asymmetric,0.31,0.4162895747659329
75% Corpus,7,asymmetric,0.61,0.4245229048450487
75% Corpus,7,asymmetric,0.9099999999999999,0.4365833109697482
75% Corpus,7,asymmetric,symmetric,0.42909311361749086
75% Corpus,8,0.01,0.01,0.3834971085179222
75% Corpus,8,0.01,0.31,0.39019199345854
75% Corpus,8,0.01,0.61,0.39534813075843367
75% Corpus,8,0.01,0.9099999999999999,0.4331678908355312
75% Corpus,8,0.01,symmetric,0.3823074403156416
75% Corpus,8,0.31,0.01,0.4186432585660812
75% Corpus,8,0.31,0.31,0.4335533732883473
75% Corpus,8,0.31,0.61,0.44905773443268543
75% Corpus,8,0.31,0.9099999999999999,0.4555597556305027
75% Corpus,8,0.31,symmetric,0.3918528374108423
75% Corpus,8,0.61,0.01,0.3973215338853949
75% Corpus,8,0.61,0.31,0.3931124662775253
75% Corpus,8,0.61,0.61,0.4080813435598386
75% Corpus,8,0.61,0.9099999999999999,0.40932812555398856
75% Corpus,8,0.61,symmetric,0.41826568562252153
75% Corpus,8,0.9099999999999999,0.01,0.35841447396177223
75% Corpus,8,0.9099999999999999,0.31,0.37682463223207907
75% Corpus,8,0.9099999999999999,0.61,0.36648762525510653
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.37585618811729926
75% Corpus,8,0.9099999999999999,symmetric,0.3875861754136921
75% Corpus,8,symmetric,0.01,0.39770055132564897
75% Corpus,8,symmetric,0.31,0.4303477426959004
75% Corpus,8,symmetric,0.61,0.40856443653922203
75% Corpus,8,symmetric,0.9099999999999999,0.3951421229971974
75% Corpus,8,symmetric,symmetric,0.3955746951924593
75% Corpus,8,asymmetric,0.01,0.4242354686878312
75% Corpus,8,asymmetric,0.31,0.5217176385951303
75% Corpus,8,asymmetric,0.61,0.47563414990112646
75% Corpus,8,asymmetric,0.9099999999999999,0.4799817778901587
75% Corpus,8,asymmetric,symmetric,0.4350145606924237
75% Corpus,9,0.01,0.01,0.37782642198342103
75% Corpus,9,0.01,0.31,0.4100177251789663
75% Corpus,9,0.01,0.61,0.3991167461763571
75% Corpus,9,0.01,0.9099999999999999,0.394473502759262
75% Corpus,9,0.01,symmetric,0.37884433167206616
75% Corpus,9,0.31,0.01,0.40658531535423403
75% Corpus,9,0.31,0.31,0.4260816813509632
75% Corpus,9,0.31,0.61,0.4317007124950114
75% Corpus,9,0.31,0.9099999999999999,0.45074962173983224
75% Corpus,9,0.31,symmetric,0.3920626400330881
75% Corpus,9,0.61,0.01,0.37996397981563335
75% Corpus,9,0.61,0.31,0.4234304319336874
75% Corpus,9,0.61,0.61,0.4148286403321382
75% Corpus,9,0.61,0.9099999999999999,0.43498895484169586
75% Corpus,9,0.61,symmetric,0.44340596868540205
75% Corpus,9,0.9099999999999999,0.01,0.3924182417651881
75% Corpus,9,0.9099999999999999,0.31,0.3792025362660622
75% Corpus,9,0.9099999999999999,0.61,0.40876045402455025
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4119541856752091
75% Corpus,9,0.9099999999999999,symmetric,0.41069260667132307
75% Corpus,9,symmetric,0.01,0.3813020887101176
75% Corpus,9,symmetric,0.31,0.4393879082411064
75% Corpus,9,symmetric,0.61,0.39439311087252454
75% Corpus,9,symmetric,0.9099999999999999,0.38918379463258623
75% Corpus,9,symmetric,symmetric,0.3553870170425064
75% Corpus,9,asymmetric,0.01,0.387762657170531
75% Corpus,9,asymmetric,0.31,0.4144939199972061
75% Corpus,9,asymmetric,0.61,0.480119938438092
75% Corpus,9,asymmetric,0.9099999999999999,0.4811853109261643
75% Corpus,9,asymmetric,symmetric,0.3808865440204203
75% Corpus,10,0.01,0.01,0.4097999827351562
75% Corpus,10,0.01,0.31,0.4447511889257689
75% Corpus,10,0.01,0.61,0.4369099923392601
75% Corpus,10,0.01,0.9099999999999999,0.44163330062861217
75% Corpus,10,0.01,symmetric,0.38045179431268605
75% Corpus,10,0.31,0.01,0.42650690536744007
75% Corpus,10,0.31,0.31,0.4482488602073282
75% Corpus,10,0.31,0.61,0.46712896309000695
75% Corpus,10,0.31,0.9099999999999999,0.47635137390936444
75% Corpus,10,0.31,symmetric,0.41400856361811317
75% Corpus,10,0.61,0.01,0.40870670338240966
75% Corpus,10,0.61,0.31,0.41875007283449045
75% Corpus,10,0.61,0.61,0.4425723811396384
75% Corpus,10,0.61,0.9099999999999999,0.4071857920576135
75% Corpus,10,0.61,symmetric,0.42312800239078996
75% Corpus,10,0.9099999999999999,0.01,0.40610172180704984
75% Corpus,10,0.9099999999999999,0.31,0.38422455712488585
75% Corpus,10,0.9099999999999999,0.61,0.38961760388841354
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4011061266310166
75% Corpus,10,0.9099999999999999,symmetric,0.4279831145966087
75% Corpus,10,symmetric,0.01,0.4137835236416393
75% Corpus,10,symmetric,0.31,0.4609542166131327
75% Corpus,10,symmetric,0.61,0.4403881398003874
75% Corpus,10,symmetric,0.9099999999999999,0.4031506729797118
75% Corpus,10,symmetric,symmetric,0.42299686547013426
75% Corpus,10,asymmetric,0.01,0.4406701629508305
75% Corpus,10,asymmetric,0.31,0.49950285315114246
75% Corpus,10,asymmetric,0.61,0.4594789272648792
75% Corpus,10,asymmetric,0.9099999999999999,0.4543098018019869
75% Corpus,10,asymmetric,symmetric,0.44673591608694546
100% Corpus,2,0.01,0.01,0.3662516219509253
100% Corpus,2,0.01,0.31,0.24603613828635643
100% Corpus,2,0.01,0.61,0.2574447435424171
100% Corpus,2,0.01,0.9099999999999999,0.4437994917711122
100% Corpus,2,0.01,symmetric,0.24385384952275796
100% Corpus,2,0.31,0.01,0.3607511828702014
100% Corpus,2,0.31,0.31,0.2533489146778168
100% Corpus,2,0.31,0.61,0.2587029087070495
100% Corpus,2,0.31,0.9099999999999999,0.2667035232032555
100% Corpus,2,0.31,symmetric,0.2278319411650699
100% Corpus,2,0.61,0.01,0.26537581382007813
100% Corpus,2,0.61,0.31,0.253750408071171
100% Corpus,2,0.61,0.61,0.275431346658084
100% Corpus,2,0.61,0.9099999999999999,0.27610753318990866
100% Corpus,2,0.61,symmetric,0.25915282869175327
100% Corpus,2,0.9099999999999999,0.01,0.28612772207550075
100% Corpus,2,0.9099999999999999,0.31,0.25305803024038465
100% Corpus,2,0.9099999999999999,0.61,0.35361603128092156
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2606102123963564
100% Corpus,2,0.9099999999999999,symmetric,0.40627619333914666
100% Corpus,2,symmetric,0.01,0.29296871196343544
100% Corpus,2,symmetric,0.31,0.24260317728466596
100% Corpus,2,symmetric,0.61,0.280289784272143
100% Corpus,2,symmetric,0.9099999999999999,0.24590606330104037
100% Corpus,2,symmetric,symmetric,0.22261194339964407
100% Corpus,2,asymmetric,0.01,0.33372556083094296
100% Corpus,2,asymmetric,0.31,0.2791578884810526
100% Corpus,2,asymmetric,0.61,0.3059220853781032
100% Corpus,2,asymmetric,0.9099999999999999,0.2999799328783865
100% Corpus,2,asymmetric,symmetric,0.39725691199229374
100% Corpus,3,0.01,0.01,0.30683330918536217
100% Corpus,3,0.01,0.31,0.4237107882255868
100% Corpus,3,0.01,0.61,0.41036444452744175
100% Corpus,3,0.01,0.9099999999999999,0.4137875213373407
100% Corpus,3,0.01,symmetric,0.4037156836569497
100% Corpus,3,0.31,0.01,0.388529160213734
100% Corpus,3,0.31,0.31,0.46694583125918837
100% Corpus,3,0.31,0.61,0.4200003930005571
100% Corpus,3,0.31,0.9099999999999999,0.4179462257541318
100% Corpus,3,0.31,symmetric,0.4432688503960309
100% Corpus,3,0.61,0.01,0.3454608052785728
100% Corpus,3,0.61,0.31,0.4606847516148942
100% Corpus,3,0.61,0.61,0.45073206094255736
100% Corpus,3,0.61,0.9099999999999999,0.45057443811854353
100% Corpus,3,0.61,symmetric,0.4645844577156158
100% Corpus,3,0.9099999999999999,0.01,0.32030273621134114
100% Corpus,3,0.9099999999999999,0.31,0.47406255325946
100% Corpus,3,0.9099999999999999,0.61,0.4425964224004364
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4394027707718579
100% Corpus,3,0.9099999999999999,symmetric,0.475511691783705
100% Corpus,3,symmetric,0.01,0.3469181190639074
100% Corpus,3,symmetric,0.31,0.44635937116824165
100% Corpus,3,symmetric,0.61,0.4263092969744897
100% Corpus,3,symmetric,0.9099999999999999,0.41660669994604466
100% Corpus,3,symmetric,symmetric,0.44717770302364634
100% Corpus,3,asymmetric,0.01,0.37231984537679624
100% Corpus,3,asymmetric,0.31,0.4142171733709557
100% Corpus,3,asymmetric,0.61,0.41809227914813346
100% Corpus,3,asymmetric,0.9099999999999999,0.29635905428384063
100% Corpus,3,asymmetric,symmetric,0.4128257514621135
100% Corpus,4,0.01,0.01,0.33877251243133977
100% Corpus,4,0.01,0.31,0.39301619994205705
100% Corpus,4,0.01,0.61,0.4253584390380644
100% Corpus,4,0.01,0.9099999999999999,0.4232061264971209
100% Corpus,4,0.01,symmetric,0.40402900753523285
100% Corpus,4,0.31,0.01,0.3592131484527995
100% Corpus,4,0.31,0.31,0.39290021808286824
100% Corpus,4,0.31,0.61,0.40145986670429545
100% Corpus,4,0.31,0.9099999999999999,0.37797042043525425
100% Corpus,4,0.31,symmetric,0.4204603323465955
100% Corpus,4,0.61,0.01,0.338204325506426
100% Corpus,4,0.61,0.31,0.40531517369736203
100% Corpus,4,0.61,0.61,0.40353306191715016
100% Corpus,4,0.61,0.9099999999999999,0.38355010591232197
100% Corpus,4,0.61,symmetric,0.40851253350528766
100% Corpus,4,0.9099999999999999,0.01,0.3400930297850273
100% Corpus,4,0.9099999999999999,0.31,0.402168278272342
100% Corpus,4,0.9099999999999999,0.61,0.4076725725079018
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4039391313452988
100% Corpus,4,0.9099999999999999,symmetric,0.407679468265204
100% Corpus,4,symmetric,0.01,0.3903862771581713
100% Corpus,4,symmetric,0.31,0.4140322816135101
100% Corpus,4,symmetric,0.61,0.40531559923070215
100% Corpus,4,symmetric,0.9099999999999999,0.38981646558801486
100% Corpus,4,symmetric,symmetric,0.41652210632480513
100% Corpus,4,asymmetric,0.01,0.39687728086067914
100% Corpus,4,asymmetric,0.31,0.42837159773758693
100% Corpus,4,asymmetric,0.61,0.43162706958052416
100% Corpus,4,asymmetric,0.9099999999999999,0.4453144844952672
100% Corpus,4,asymmetric,symmetric,0.4502383190970618
100% Corpus,5,0.01,0.01,0.37432011710187096
100% Corpus,5,0.01,0.31,0.43825584923832644
100% Corpus,5,0.01,0.61,0.38588224611950983
100% Corpus,5,0.01,0.9099999999999999,0.3637943441931701
100% Corpus,5,0.01,symmetric,0.4336876133321887
100% Corpus,5,0.31,0.01,0.3929149932039138
100% Corpus,5,0.31,0.31,0.40464439299251315
100% Corpus,5,0.31,0.61,0.4030085035996258
100% Corpus,5,0.31,0.9099999999999999,0.3903811185945695
100% Corpus,5,0.31,symmetric,0.4275264809166055
100% Corpus,5,0.61,0.01,0.30212336726662503
100% Corpus,5,0.61,0.31,0.3766133315366494
100% Corpus,5,0.61,0.61,0.3679322664800434
100% Corpus,5,0.61,0.9099999999999999,0.34849757118753216
100% Corpus,5,0.61,symmetric,0.35667192227824623
100% Corpus,5,0.9099999999999999,0.01,0.28013783345705556
100% Corpus,5,0.9099999999999999,0.31,0.3635870627407941
100% Corpus,5,0.9099999999999999,0.61,0.3595874830062795
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3424879681072593
100% Corpus,5,0.9099999999999999,symmetric,0.37992309515666145
100% Corpus,5,symmetric,0.01,0.3781870271853859
100% Corpus,5,symmetric,0.31,0.4047826997171454
100% Corpus,5,symmetric,0.61,0.3903427070817863
100% Corpus,5,symmetric,0.9099999999999999,0.40058197055094047
100% Corpus,5,symmetric,symmetric,0.42738982464438796
100% Corpus,5,asymmetric,0.01,0.40941636986213936
100% Corpus,5,asymmetric,0.31,0.40681575537592385
100% Corpus,5,asymmetric,0.61,0.43440170941595946
100% Corpus,5,asymmetric,0.9099999999999999,0.4778592362165769
100% Corpus,5,asymmetric,symmetric,0.4461095407455307
100% Corpus,6,0.01,0.01,0.39197835486576493
100% Corpus,6,0.01,0.31,0.3847091760791586
100% Corpus,6,0.01,0.61,0.36013246849587005
100% Corpus,6,0.01,0.9099999999999999,0.3623661080162306
100% Corpus,6,0.01,symmetric,0.4116583071388375
100% Corpus,6,0.31,0.01,0.4300295357514811
100% Corpus,6,0.31,0.31,0.38751529224654596
100% Corpus,6,0.31,0.61,0.3676016668480791
100% Corpus,6,0.31,0.9099999999999999,0.4109335954757658
100% Corpus,6,0.31,symmetric,0.40668676750335786
100% Corpus,6,0.61,0.01,0.35578697948937116
100% Corpus,6,0.61,0.31,0.35423382321226177
100% Corpus,6,0.61,0.61,0.3539135349753857
100% Corpus,6,0.61,0.9099999999999999,0.33541262740399547
100% Corpus,6,0.61,symmetric,0.3619096750585058
100% Corpus,6,0.9099999999999999,0.01,0.3321409819970181
100% Corpus,6,0.9099999999999999,0.31,0.34776716411619435
100% Corpus,6,0.9099999999999999,0.61,0.3631157956906097
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.34735272043202786
100% Corpus,6,0.9099999999999999,symmetric,0.3614286027800017
100% Corpus,6,symmetric,0.01,0.42510092809016164
100% Corpus,6,symmetric,0.31,0.417001562462636
100% Corpus,6,symmetric,0.61,0.40620262035292404
100% Corpus,6,symmetric,0.9099999999999999,0.38048566062267564
100% Corpus,6,symmetric,symmetric,0.4400169926935107
100% Corpus,6,asymmetric,0.01,0.40592346440727933
100% Corpus,6,asymmetric,0.31,0.45504363386844
100% Corpus,6,asymmetric,0.61,0.4393707368193991
100% Corpus,6,asymmetric,0.9099999999999999,0.5131449140259384
100% Corpus,6,asymmetric,symmetric,0.48960202972893324
100% Corpus,7,0.01,0.01,0.3853784806946635
100% Corpus,7,0.01,0.31,0.3988345821247776
100% Corpus,7,0.01,0.61,0.37161405244584034
100% Corpus,7,0.01,0.9099999999999999,0.3937654738795334
100% Corpus,7,0.01,symmetric,0.3525937397855527
100% Corpus,7,0.31,0.01,0.3998393785032942
100% Corpus,7,0.31,0.31,0.392042768548821
100% Corpus,7,0.31,0.61,0.3643251961979853
100% Corpus,7,0.31,0.9099999999999999,0.4012628966056607
100% Corpus,7,0.31,symmetric,0.3806179093024168
100% Corpus,7,0.61,0.01,0.3575066930572918
100% Corpus,7,0.61,0.31,0.40439526214548654
100% Corpus,7,0.61,0.61,0.4003070093377432
100% Corpus,7,0.61,0.9099999999999999,0.399122550449947
100% Corpus,7,0.61,symmetric,0.3736764788846413
100% Corpus,7,0.9099999999999999,0.01,0.3623822680874689
100% Corpus,7,0.9099999999999999,0.31,0.34568614303670187
100% Corpus,7,0.9099999999999999,0.61,0.40412614789958773
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4112664781915562
100% Corpus,7,0.9099999999999999,symmetric,0.3472684574037287
100% Corpus,7,symmetric,0.01,0.36868531479825045
100% Corpus,7,symmetric,0.31,0.3838832889189849
100% Corpus,7,symmetric,0.61,0.3898751555273389
100% Corpus,7,symmetric,0.9099999999999999,0.3746497181906889
100% Corpus,7,symmetric,symmetric,0.35477476041917905
100% Corpus,7,asymmetric,0.01,0.3998003050170924
100% Corpus,7,asymmetric,0.31,0.4249073526159823
100% Corpus,7,asymmetric,0.61,0.44542263196293497
100% Corpus,7,asymmetric,0.9099999999999999,0.4300581778637071
100% Corpus,7,asymmetric,symmetric,0.4132213755146669
100% Corpus,8,0.01,0.01,0.3815839038842209
100% Corpus,8,0.01,0.31,0.3761286407578626
100% Corpus,8,0.01,0.61,0.41022355964752727
100% Corpus,8,0.01,0.9099999999999999,0.43736137762299965
100% Corpus,8,0.01,symmetric,0.37327097067675785
100% Corpus,8,0.31,0.01,0.40679007713301185
100% Corpus,8,0.31,0.31,0.43395940938882793
100% Corpus,8,0.31,0.61,0.46073711515229954
100% Corpus,8,0.31,0.9099999999999999,0.45356713041185376
100% Corpus,8,0.31,symmetric,0.377330471463351
100% Corpus,8,0.61,0.01,0.3854865095624057
100% Corpus,8,0.61,0.31,0.4018852143868348
100% Corpus,8,0.61,0.61,0.4101080949209187
100% Corpus,8,0.61,0.9099999999999999,0.4262015698444299
100% Corpus,8,0.61,symmetric,0.40108176459005374
100% Corpus,8,0.9099999999999999,0.01,0.34293346039154726
100% Corpus,8,0.9099999999999999,0.31,0.3730737557296063
100% Corpus,8,0.9099999999999999,0.61,0.36099471319823884
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3654448569988117
100% Corpus,8,0.9099999999999999,symmetric,0.3902520304057677
100% Corpus,8,symmetric,0.01,0.40721508370290094
100% Corpus,8,symmetric,0.31,0.4348214030341911
100% Corpus,8,symmetric,0.61,0.418931189701665
100% Corpus,8,symmetric,0.9099999999999999,0.4022380846891134
100% Corpus,8,symmetric,symmetric,0.3848064622291587
100% Corpus,8,asymmetric,0.01,0.42772933949202824
100% Corpus,8,asymmetric,0.31,0.5114938465719259
100% Corpus,8,asymmetric,0.61,0.46917989203635835
100% Corpus,8,asymmetric,0.9099999999999999,0.4946621721012953
100% Corpus,8,asymmetric,symmetric,0.4574658732453101
100% Corpus,9,0.01,0.01,0.3834733898083984
100% Corpus,9,0.01,0.31,0.4367860897232641
100% Corpus,9,0.01,0.61,0.40755294129938424
100% Corpus,9,0.01,0.9099999999999999,0.3993586072449007
100% Corpus,9,0.01,symmetric,0.3625360246937537
100% Corpus,9,0.31,0.01,0.40164844523202076
100% Corpus,9,0.31,0.31,0.43024376925291086
100% Corpus,9,0.31,0.61,0.4320879231857451
100% Corpus,9,0.31,0.9099999999999999,0.4369149670770622
